"common_name","ebird_sci","epithet","exact_in_botw","botw_candidates"
"Aleutian Tern","Onychoprion aleuticus","aleuticus","Onychoprion aleuticus","Ptychoramphus aleuticus"
"Australasian Grass-Owl","Tyto longimembris","longimembris","Tyto longimembris",""
"Australian Bustard","Ardeotis australis","australis","Ardeotis australis","Acrocephalus australis | Apteryx australis | Aythya australis | Ceuthmochares australis | Dicaeum australe | Eopsaltria australis | Eremopterix australis | Gallirallus australis | Hyliota australis | Lamprotornis australis | Leucosticte australis | Mergus australis | Oxyura australis | Peltohyas australis | Petroica australis | Phalcoboenus australis | Psilopogon australis | Rostratula australis | Tchagra australis | Treron australis | Vini australis"
"Australian Fairy Tern","Sternula nereis","nereis","Sternula nereis","Garrodia nereis"
"Australian Masked-Owl","Tyto novaehollandiae","novaehollandiae","Tyto novaehollandiae","Accipiter novaehollandiae | Anhinga novaehollandiae | Cereopsis novaehollandiae | Coracina novaehollandiae | Dromaius novaehollandiae | Egretta novaehollandiae | Larus novaehollandiae | Menura novaehollandiae | Phylidonyris novaehollandiae | Recurvirostra novaehollandiae | Scythrops novaehollandiae | Tachybaptus novaehollandiae | Vanellus novaehollandiae"
"Australian Pratincole","Glareola isabella","isabella",NA,"Stiltia isabella"
"Banded Stilt","Cladorhynchus leucocephalus","leucocephalus","Cladorhynchus leucocephalus","Acridotheres leucocephalus | Amazona leucocephala | Arundinicola leucocephala | Cinclus leucocephalus | Colius leucocephalus | Halcyon leucocephala | Haliaeetus leucocephalus | Hypsipetes leucocephalus | Lybius leucocephalus | Mycteria leucocephala | Oxyura leucocephala | Patagioenas leucocephala | Phoenicurus leucocephalus | Rhabdotorrhinus leucocephalus | Tachyeres leucocephalus | Turdoides leucocephala"
"Black Bittern","Botaurus flavicollis","flavicollis",NA,"Atimastillas flavicollis | Hemithraupis flavicollis | Ixobrychus flavicollis | Macronyx flavicollis | Mixornis flavicollis | Nesoptilotis flavicollis | Yuhina flavicollis"
"Black-backed Bittern","Botaurus dubius","dubius",NA,"Carpodacus dubius | Charadrius dubius | Ixobrychus dubius | Leptoptilos dubius | Oenanthe dubia | Pogonornis dubius | Schoeniparus dubius"
"Black-browed Albatross","Thalassarche melanophris","melanophris","Thalassarche melanophris",""
"Brown Noddy","Anous stolidus","stolidus","Anous stolidus","Myiarchus stolidus"
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum","cinnamomeum","Cinclosoma cinnamomeum","Macropygia cinnamomea | Neopipo cinnamomea | Sporophila cinnamomea | Synallaxis cinnamomea | Terpsiphone cinnamomea"
"Cotton Pygmy-Goose","Nettapus coromandelianus","coromandelianus","Nettapus coromandelianus",""
"Eastern Barn Owl","Tyto javanica","javanica",NA,"Acridotheres javanicus | Arborophila javanica | Charadrius javanicus | Dendrocygna javanica | Eurylaimus javanicus | Heleia javanica | Hirundo javanica | Leptoptilos javanicus | Mirafra javanica | Rhipidura javanica | Zanclostomus javanicus"
"Fluttering Shearwater","Puffinus gavia","gavia","Puffinus gavia",""
"Gray Goshawk","Tachyspiza novaehollandiae","novaehollandiae",NA,"Accipiter novaehollandiae | Anhinga novaehollandiae | Cereopsis novaehollandiae | Coracina novaehollandiae | Dromaius novaehollandiae | Egretta novaehollandiae | Larus novaehollandiae | Menura novaehollandiae | Phylidonyris novaehollandiae | Recurvirostra novaehollandiae | Scythrops novaehollandiae | Tachybaptus novaehollandiae | Tyto novaehollandiae | Vanellus novaehollandiae"
"Gray-fronted Honeyeater","Ptilotula plumula","plumula","Ptilotula plumula",""
"Greater Sand-Plover","Anarhynchus leschenaultii","leschenaultii",NA,"Charadrius leschenaultii | Taccocua leschenaultii"
"Ground Parrot","Pezoporus wallicus","wallicus","Pezoporus wallicus",""
"Hooded Plover","Thinornis cucullatus","cucullatus","Thinornis cucullatus","Andigena cucullata | Carpornis cucullata | Ceblepyris cucullatus | Cecropis cucullata | Coryphospingus cucullatus | Crypsirina cucullata | Cyanolyca cucullata | Grallaricula cucullata | Icterus cucullatus | Lophodytes cucullatus | Melanodryas cucullata | Phyllergates cucullatus | Ploceus cucullatus | Raphus cucullatus | Spermestes cucullata | Spinus cucullatus | Tangara cucullata"
