"species","n_pos","n_rows","spearman_r_base","spearman_r_var","spearman_r_delta","pearson_r_base","pearson_r_var","pearson_r_delta","mae_base","mae_var","mae_delta","rmse_base","rmse_var","rmse_delta","holdout_dev_expl_base","holdout_dev_expl_var","holdout_dev_expl_delta"
"Superb Lyrebird",10050,334105,0.273247598402423,0.273337628633394,9.00302309702061e-05,0.478446813353231,0.478372043838429,-7.47695148027305e-05,0.0679638546037795,0.0679692849804472,5.43037666769774e-06,0.308414954923267,0.308433043491417,1.80885681502208e-05,0.630087019071266,0.630792942419136,0.000705923347869897
"Eastern Whipbird",50591,334105,0.501018363578508,0.501598314617388,0.000579951038879645,0.538512627421252,0.541964160103438,0.00345153268218512,0.39685288851543,0.395488086626259,-0.00136480188917032,0.97490411171332,0.971908844385391,-0.0029952673279281,0.548479788938907,0.549808552105519,0.00132876316661179
"Rose Robin",6646,334105,0.202512124045834,0.202603676641137,9.15525953026908e-05,0.274237883552824,0.272943181759269,-0.00129470179355551,0.0548371090218321,0.0548703590884572,3.32500666250998e-05,0.28654027930066,0.286840184757849,0.000299905457188832,0.49817688196355,0.498419664293188,0.000242782329637425
"Superb Fairywren",119542,334105,0.492232244448272,0.494799840292417,0.00256759584414512,0.471424098685206,0.476117773454294,0.00469367476908877,1.98441085718519,1.9784214919568,-0.00598936522838489,3.44495291091702,3.43597485298472,-0.00897805793229622,0.246646916561907,0.24919668024317,0.00254976368126367
"Eastern Yellow Robin",58532,334105,0.502733346684939,0.503805363450805,0.00107201676586599,0.515593783627365,0.518907856627398,0.00331407300003306,0.410269942159168,0.40905750658706,-0.00121243557210771,0.899903630996571,0.897869193607891,-0.00203443738868048,0.47517672263919,0.476768737345295,0.00159201470610515
"Gray Shrikethrush",71446,334105,0.476904100418512,0.477803003805933,0.000898903387421046,0.503835416008803,0.50424521102906,0.000409795020256842,0.401560033203525,0.401469682927138,-9.03502763862085e-05,0.72866150391729,0.728784521579486,0.000123017662195357,0.361392272543039,0.362572050235314,0.00117977769227551
"Australian Magpie",183778,334102,0.518659465088468,0.519404109174114,0.000744644085645785,0.484041953725119,0.485997505555016,0.00195555182989682,1.63016496959169,1.62929761928965,-0.00086735030204732,3.0409459828231,3.03706821375252,-0.00387776907058512,0.269173622111744,0.270707324596001,0.00153370248425738
"Brown Songlark",2312,334105,0.130620331843271,0.130580027483701,-4.03043595691432e-05,0.304510434866275,0.302081391338455,-0.00242904352782053,0.024903976784648,0.0249169785222454,1.30017375973325e-05,0.221082099392406,0.221612631907946,0.00053053251554,0.62120061158899,0.620755566958631,-0.000445044630358993
"Stubble Quail",2005,334105,0.116017699119362,0.116125150847358,0.00010745172799527,0.218860339125743,0.207323000160704,-0.0115373389650391,0.0343253105056581,0.0347809507663627,0.000455640260704673,0.468752668787239,0.504834887284926,0.036082218497687,0.581008196557768,0.581919979796834,0.000911783239065933
"Pacific Black Duck",86930,334039,0.427864801981058,0.43067977247801,0.00281497049695256,0.286729114651058,0.290048044596263,0.00331892994520522,3.02376513171744,3.014108321983,-0.00965680973443916,8.14125411320399,8.13252245563639,-0.00873165756759953,0.203491469967298,0.203638231713603,0.000146761746305152
"Royal Spoonbill",16036,334103,0.256094911003618,0.256584029135214,0.000489118131596022,0.183743699134406,0.183359579092374,-0.000384120042032393,0.373223837863154,0.373303014776214,7.91769130598086e-05,2.15209579425977,2.15390240964488,0.00180661538510307,0.404043109933563,0.404888451103641,0.000845341170078173
"Noisy Miner",116664,334105,0.488823997354832,0.489499162091849,0.000675164737016898,0.453077750117261,0.453123767935708,4.60178184470417e-05,2.24762481505388,2.24671832003056,-0.00090649502331841,4.09812269726404,4.09961724878807,0.00149455152402744,0.240392349626283,0.2413298343833,0.00093748475701691
"Rainbow Lorikeet",105459,334084,0.608670775956246,0.608863942690453,0.000193166734206995,0.410368683526372,0.410780525330195,0.000411841803823809,2.77990823446888,2.77808875481959,-0.00181947964928231,6.93108727400758,6.92851625671986,-0.00257101728771936,0.419828591854457,0.42019131010541,0.000362718250953353
"Crested Pigeon",83584,334102,0.443140945869147,0.444438366468977,0.00129742059983001,0.363188181763771,0.361547106897725,-0.00164107486604553,1.24065446951772,1.24173233852489,0.00107786900717199,2.85709415610885,2.8603311560124,0.00323699990355086,0.275537468762754,0.277588203400459,0.00205073463770528
"White-plumed Honeyeater",45258,334105,0.489905321849049,0.490251855656759,0.000346533807709992,0.455904151016246,0.45769971292064,0.00179556190439423,0.797945612339898,0.797051810631883,-0.00089380170801423,2.3589710890298,2.35707389094702,-0.00189719808277378,0.584038740175706,0.58478617011119,0.000747429935484822
"Flame Robin",4020,334105,0.174635754703366,0.174637064881838,1.31017847174175e-06,0.0522977049345223,0.0538259956793274,0.00152829074480514,0.135956296848227,0.134414123128173,-0.00154217372005375,3.26460982928504,3.19663790005693,-0.0679719292281074,0.730006603260011,0.730261802360833,0.000255199100822168
"Welcome Swallow",116291,334051,0.391553397839201,0.391877715853645,0.000324318014444047,0.285969522991102,0.286417706548242,0.000448183557139548,3.01800398159558,3.01748746257311,-0.000516519022473183,7.17872180168264,7.1778422460886,-0.000879555594043957,0.134596300350765,0.13321350148293,-0.00138279886783474
"Brown Goshawk",8645,334105,0.14498687281784,0.145105683355223,0.000118810537382941,0.201057312394402,0.201449557768864,0.000392245374461891,0.05500776879594,0.0549964649036857,-1.13038922543579e-05,0.187486987263231,0.187471419267988,-1.55679952421328e-05,0.162447437506488,0.162922600044614,0.000475162538125767
"Tawny Frogmouth",5101,334105,0.117587483965333,0.117560044619352,-2.74393459805816e-05,0.113724870640792,0.111101822254299,-0.00262304838649303,0.0520477663441882,0.0521061251778305,5.83588336423302e-05,0.247092828036022,0.247896181629793,0.00080335359377065,0.202532656057419,0.202498188113573,-3.44679438467332e-05
