"species","n_pos","gamma","spearman_r","pearson_r","mae","rmse","holdout_dev_expl"
"Superb Lyrebird",10050,1.4,0.273842656676003,0.472076362239191,0.0679159899460975,0.311973921691016,0.634478546665973
"Superb Lyrebird",10050,6.4,0.273662893047671,0.473654027676062,0.0679172044529816,0.309912681820717,0.633140883946775
Eastern Whipbird,50591,1.4,0.503302226193977,0.54493526839257,0.394040281257207,0.970279444107263,0.553234399003235
Eastern Whipbird,50591,6.4,0.503166029040542,0.546192582047949,0.39369870986846,0.968144966229434,0.552971653907956
Rose Robin,6646,1.4,0.203114212938974,0.292232619629002,0.0542926331367529,0.283792739342681,0.501612669954831
Rose Robin,6646,6.4,0.20252947882468,0.297399111297284,0.0540516670214774,0.281123892201695,0.499077096297916
Superb Fairywren,119542,1.4,0.493938819290705,0.477746053074567,1.97636858909183,3.42918814132336,0.248207980730716
Superb Fairywren,119542,6.4,0.49353159821869,0.479076869311395,1.97456918609543,3.42468424398681,0.247801725914506
Eastern Yellow Robin,58532,1.4,0.503838920885149,0.514471482771016,0.409788410788256,0.900894426231412,0.477012098963621
Eastern Yellow Robin,58532,6.4,0.50363636350601,0.514241216362071,0.410009523077367,0.900769789901263,0.476515764795785
Gray Shrikethrush,71446,1.4,0.477536541837483,0.503755757106674,0.401379753303702,0.728895303365506,0.362186190851355
Gray Shrikethrush,71446,6.4,0.477203825660948,0.502256758301897,0.401953972333584,0.729555943716514,0.361493610659887
Australian Magpie,183778,1.4,0.51970226687947,0.484829134586043,1.62851439327563,3.03778695885462,0.270276605364411
Australian Magpie,183778,6.4,0.519184859512344,0.484126135427009,1.62926420207032,3.03907781923584,0.269327701763541
Brown Songlark,2312,1.4,0.130697961218691,0.308500553848242,0.0248197290867155,0.221608147559011,0.622747055252617
Brown Songlark,2312,6.4,0.130463858373824,0.302665000656339,0.024569775072477,0.220050530401599,0.619456021805719
Stubble Quail,2005,1.4,0.11617409191835,0.231958277633235,0.0339181942341402,0.459460930767915,0.57963609537018
Stubble Quail,2005,6.4,0.115702600365618,0.24505216667543,0.032368785127728,0.411947330388087,0.57450605244173
Pacific Black Duck,86930,1.4,0.427558718297898,0.287847039687542,3.0225059653287,8.13438571061954,0.20151731761233
Pacific Black Duck,86930,6.4,0.427722356128637,0.289580300220071,3.01245917386646,8.12459762546624,0.200918665642758
Royal Spoonbill,16036,1.4,0.257578421965763,0.171373201316254,0.380067113744924,2.17397154432431,0.40931772716417
Royal Spoonbill,16036,6.4,0.257376099566579,0.173618773539411,0.374236812479516,2.16286129234509,0.407798390384151
Noisy Miner,116664,1.4,0.489939286656615,0.451727975832334,2.24671800538109,4.09909950381095,0.241980805427038
Noisy Miner,116664,6.4,0.489940563769414,0.45225985984178,2.24428090980727,4.09591505926207,0.241661588745024
Rainbow Lorikeet,105459,1.4,0.610232634889081,0.410674709282842,2.77948974980129,6.94326089260505,0.421873390481326
Rainbow Lorikeet,105459,6.4,0.609929372555551,0.411459569268764,2.77151115711276,6.9280677254753,0.4211890157036
Crested Pigeon,83584,1.4,0.444169404349198,0.363875606196588,1.2391227600177,2.8558518480312,0.276761640704818
Crested Pigeon,83584,6.4,0.443887744306336,0.364583575895759,1.23811221182542,2.85400192534477,0.276090963723901
White-plumed Honeyeater,45258,1.4,0.491358815170348,0.459302833817088,0.7947415657433,2.35229431040417,0.589857133042588
White-plumed Honeyeater,45258,6.4,0.491331642790352,0.459737372496912,0.79251278872337,2.34828575060499,0.589643932547326
Flame Robin,4020,1.4,0.17471537503457,0.0572816736711908,0.127147938123087,2.6673555837915,0.73268616853276
Flame Robin,4020,6.4,0.174608317055959,0.0570276635722557,0.121681449259895,2.40144337145262,0.730603704361359
Welcome Swallow,116291,1.4,0.393902382173304,0.291220298188215,3.01722675169545,7.16955396794053,0.136335451961751
Welcome Swallow,116291,6.4,0.393420208200267,0.293052093172891,3.0099575270048,7.16321264971653,0.137114941065329
Brown Goshawk,8645,1.4,0.145838627919101,0.201631883149883,0.0549676994182272,0.187462395171364,0.164659450901838
Brown Goshawk,8645,6.4,0.14516324348993,0.198807071121218,0.055020997026848,0.187583990997909,0.162451475078449
Tawny Frogmouth,5101,1.4,0.118427268394666,0.118039272050396,0.051798060274141,0.24680121364499,0.206284938894671
Tawny Frogmouth,5101,6.4,0.116225583964824,0.122891073930945,0.0510997849929393,0.243969933093403,0.1953165905763
