"common_name","n_detections","mean_count","median_count","max_count","reporting_rate","n_checklists","category"
"Australian Magpie",358173,3.223,2,500,49.3708,725476,"regular (>=1%)"
"Rainbow Lorikeet",265973,8.007,4,4560,36.6619,725476,"regular (>=1%)"
"Magpie-lark",255472,2.976,2,300,35.2144,725476,"regular (>=1%)"
"Noisy Miner",240837,5.529,4,200,33.1971,725476,"regular (>=1%)"
"Welcome Swallow",236237,7.251,4,1000,32.563,725476,"regular (>=1%)"
"Australian Raven",235811,2.938,2,156,32.5043,725476,"regular (>=1%)"
"Superb Fairywren",232691,4.943,4,147,32.0743,725476,"regular (>=1%)"
"Willie-wagtail",221518,2.104,2,100,30.5342,725476,"regular (>=1%)"
"Laughing Kookaburra",205523,1.967,2,30,28.3294,725476,"regular (>=1%)"
"Pied Currawong",201993,2.355,2,170,27.8428,725476,"regular (>=1%)"
"Sulphur-crested Cockatoo",193447,6.636,3,1000,26.6648,725476,"regular (>=1%)"
"Gray Fantail",180804,2.343,2,50,24.9221,725476,"regular (>=1%)"
"Masked Lapwing",172310,4.721,2,1000,23.7513,725476,"regular (>=1%)"
"Pacific Black Duck",165015,9.453,4,2600,22.7458,725476,"regular (>=1%)"
"Galah",164151,7.285,3,2000,22.6267,725476,"regular (>=1%)"
"Gray Butcherbird",159368,1.445,1,20,21.9674,725476,"regular (>=1%)"
"Crested Pigeon",156070,3.843,2,300,21.5128,725476,"regular (>=1%)"
"Australian Ibis",139492,11.599,4,2000,19.2277,725476,"regular (>=1%)"
"Red Wattlebird",138818,2.826,2,501,19.1347,725476,"regular (>=1%)"
"Lewin's Honeyeater",134964,2.452,2,65,18.6035,725476,"regular (>=1%)"
"Maned Duck",128813,9.922,5,1000,17.7557,725476,"regular (>=1%)"
"Common Myna",126692,5.028,2,300,17.4633,725476,"regular (>=1%)"
"White-faced Heron",126417,2.464,1,340,17.4254,725476,"regular (>=1%)"
"Eastern Yellow Robin",122988,2.016,1,35,16.9527,725476,"regular (>=1%)"
"Little Pied Cormorant",122603,3.086,1,1000,16.8997,725476,"regular (>=1%)"
"Eastern Whipbird",121656,2.209,2,31,16.7691,725476,"regular (>=1%)"
"Crimson Rosella",120686,3.298,2,85,16.6354,725476,"regular (>=1%)"
"Silver Gull",120600,28.514,10,4000,16.6236,725476,"regular (>=1%)"
"Black-faced Cuckooshrike",119101,1.801,1,60,16.4169,725476,"regular (>=1%)"
"Yellow-faced Honeyeater",117357,7.558,2,30500,16.1766,725476,"regular (>=1%)"
"Brown Thornbill",116917,2.89,2,77,16.1159,725476,"regular (>=1%)"
"Little Wattlebird",115976,3.135,2,200,15.9862,725476,"regular (>=1%)"
"Silvereye",108598,6.177,4,3000,14.9692,725476,"regular (>=1%)"
"Eastern Rosella",105737,3.293,2,100,14.5748,725476,"regular (>=1%)"
"Eastern Spinebill",104685,2.256,1,200,14.4298,725476,"regular (>=1%)"
"Dusky Moorhen",104182,5.796,4,300,14.3605,725476,"regular (>=1%)"
"Gray Shrikethrush",103103,1.49,1,20,14.2118,725476,"regular (>=1%)"
"White-browed Scrubwren",101447,2.638,2,74,13.9835,725476,"regular (>=1%)"
"Little Black Cormorant",99324,7.649,2,5000,13.6909,725476,"regular (>=1%)"
"Red-browed Firetail",98175,6.453,4,300,13.5325,725476,"regular (>=1%)"
"Eurasian Coot",95484,36.559,8,10640,13.1616,725476,"regular (>=1%)"
"Golden Whistler",94929,1.88,1,45,13.0851,725476,"regular (>=1%)"
"Australian Pelican",94708,8.1,3,5000,13.0546,725476,"regular (>=1%)"
"Australasian Swamphen",94194,6.678,4,1000,12.9838,725476,"regular (>=1%)"
"White-throated Treecreeper",90322,1.825,1,25,12.45,725476,"regular (>=1%)"
"Spotted Dove",89703,2.691,2,105,12.3647,725476,"regular (>=1%)"
"Spotted Pardalote",89262,2.262,2,300,12.3039,725476,"regular (>=1%)"
"European Starling",82593,14.26,5,10000,11.3847,725476,"regular (>=1%)"
"Little Corella",81612,18.642,4,3120,11.2494,725476,"regular (>=1%)"
"Australian King-Parrot",81077,2.509,2,73,11.1757,725476,"regular (>=1%)"
"Satin Bowerbird",76721,2.236,2,400,10.5753,725476,"regular (>=1%)"
"Gray Teal",71933,29.194,6,12000,9.9153,725476,"regular (>=1%)"
"Rufous Whistler",69878,2.005,1,50,9.632,725476,"regular (>=1%)"
"Noisy Friarbird",68098,4.265,2,5820,9.3867,725476,"regular (>=1%)"
"Chestnut Teal",67500,15.449,4,2000,9.3042,725476,"regular (>=1%)"
"Yellow Thornbill",66397,3.556,3,68,9.1522,725476,"regular (>=1%)"
"Black Swan",64526,38.821,4,5000,8.8943,725476,"regular (>=1%)"
"Great Cormorant",62636,4.93,2,4020,8.6338,725476,"regular (>=1%)"
"Rock Pigeon",62514,12.774,5,3000,8.617,725476,"regular (>=1%)"
"Australasian Grebe",62433,4.16,2,750,8.6058,725476,"regular (>=1%)"
"Pied Butcherbird",61659,1.6,1,16,8.4991,725476,"regular (>=1%)"
"Australasian Figbird",61433,4.082,2,200,8.468,725476,"regular (>=1%)"
"Great Egret",60294,2.098,1,500,8.311,725476,"regular (>=1%)"
"White-plumed Honeyeater",58254,4.465,3,113,8.0298,725476,"regular (>=1%)"
"New Holland Honeyeater",57129,5.77,3,300,7.8747,725476,"regular (>=1%)"
"Olive-backed Oriole",56598,1.491,1,30,7.8015,725476,"regular (>=1%)"
"Sacred Kingfisher",56228,1.547,1,30,7.7505,725476,"regular (>=1%)"
"Yellow-tailed Black-Cockatoo",53205,4.667,2,376,7.3338,725476,"regular (>=1%)"
"Red-rumped Parrot",52151,5.828,4,200,7.1885,725476,"regular (>=1%)"
"Australasian Darter",50946,2.257,1,700,7.0224,725476,"regular (>=1%)"
"Pacific Koel",50074,1.283,1,12,6.9022,725476,"regular (>=1%)"
"Great Crested Tern",49833,30.529,6,3200,6.869,725476,"regular (>=1%)"
"Striated Pardalote",48960,2.105,1,120,6.7487,725476,"regular (>=1%)"
"Torresian Crow",48642,2.715,2,114,6.7048,725476,"regular (>=1%)"
"Brown Gerygone",47427,3.647,2,85,6.5374,725476,"regular (>=1%)"
"Bar-shouldered Dove",45125,2.122,2,50,6.2201,725476,"regular (>=1%)"
"Pied Cormorant",44785,5.686,2,900,6.1732,725476,"regular (>=1%)"
"Eurasian Blackbird",44784,1.805,1,40,6.1731,725476,"regular (>=1%)"
"House Sparrow",42282,6.351,4,1000,5.8282,725476,"regular (>=1%)"
"Striated Thornbill",40668,4.724,4,72,5.6057,725476,"regular (>=1%)"
"Hardhead",40234,12.077,4,1450,5.5459,725476,"regular (>=1%)"
"Royal Spoonbill",39904,4.845,2,300,5.5004,725476,"regular (>=1%)"
"Australian Reed Warbler",39607,3.114,2,100,5.4595,725476,"regular (>=1%)"
"Fan-tailed Cuckoo",39472,1.341,1,15,5.4408,725476,"regular (>=1%)"
"Variegated Fairywren",39171,3.499,3,42,5.3994,725476,"regular (>=1%)"
"Yellow-rumped Thornbill",38913,4.263,3,70,5.3638,725476,"regular (>=1%)"
"White-bellied Sea-Eagle",38861,1.297,1,15,5.3566,725476,"regular (>=1%)"
"Straw-necked Ibis",38223,21.283,5,8000,5.2687,725476,"regular (>=1%)"
"Red-whiskered Bulbul",38155,3.051,2,75,5.2593,725476,"regular (>=1%)"
"Scarlet Myzomela",34690,3.691,2,4150,4.7817,725476,"regular (>=1%)"
"Nankeen Kestrel",34388,1.32,1,20,4.7401,725476,"regular (>=1%)"
"Whistling Kite",34035,1.432,1,65,4.6914,725476,"regular (>=1%)"
"Blue-faced Honeyeater",33011,2.576,2,42,4.5503,725476,"regular (>=1%)"
"Mistletoebird",32350,1.566,1,30,4.4591,725476,"regular (>=1%)"
"Australian Brushturkey",31789,2.353,2,61,4.3818,725476,"regular (>=1%)"
"Dollarbird",31689,1.746,1,20,4.368,725476,"regular (>=1%)"
"Eastern Cattle-Egret",31385,16.15,6,2000,4.3261,725476,"regular (>=1%)"
"Pied Stilt",30653,23.479,8,2000,4.2252,725476,"regular (>=1%)"
"Bell Miner",30113,9.125,6,300,4.1508,725476,"regular (>=1%)"
"Brown Cuckoo-Dove",30098,1.904,1,60,4.1487,725476,"regular (>=1%)"
"Musk Lorikeet",29521,7.88,4,1230,4.0692,725476,"regular (>=1%)"
"Pied Oystercatcher",29416,3.615,2,111,4.0547,725476,"regular (>=1%)"
"Wonga Pigeon",29364,1.391,1,16,4.0475,725476,"regular (>=1%)"
"Brown Honeyeater",28440,2.606,2,100,3.9202,725476,"regular (>=1%)"
"White-cheeked Honeyeater",27989,5.582,3,250,3.858,725476,"regular (>=1%)"
"Little Raven",26819,6.788,3,1500,3.6967,725476,"regular (>=1%)"
"Golden-headed Cisticola",26671,2.832,2,90,3.6763,725476,"regular (>=1%)"
