"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","risk_assessed","wlab_review","wlab_review_reason","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","rez","n_checklists_rez","n_positive_rez","sufficient","seasonality_index","amplitude_link","peak_doy","peak_date","prob_seasonal","is_seasonal","window_start_doy","window_end_doy","window_start_date","window_end_date","window_wraps","mean_abund","se_abund","range_masked_in_rez","n_train_total","dev_expl","run_date"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","statewide",324794,177830,TRUE,0.234316883932997,0.266986881430053,180,"29 Jun",0,FALSE,NA,NA,NA,NA,FALSE,2.86969957093253,0.0224453277898813,FALSE,334102,0.271679436129531,"2026-07-03"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","central_west",3967,2353,TRUE,0.233862992386236,0.266394264120713,181,"30 Jun",0,FALSE,NA,NA,NA,NA,FALSE,3.66148944077684,0.0186761515522385,FALSE,334102,0.271679436129531,"2026-07-03"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","new_england",3781,2720,TRUE,0.233831263199506,0.266352850470924,180,"29 Jun",0,FALSE,NA,NA,NA,NA,FALSE,4.6039674985582,0.0236223608231701,FALSE,334102,0.271679436129531,"2026-07-03"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",TRUE,TRUE,"multiple_nsw_subspecies","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","south_west",1560,737,TRUE,0.26421936989276,0.306823261600564,175,"24 Jun",0,FALSE,NA,NA,NA,NA,FALSE,3.4269939168704,0.0221957482104815,FALSE,334102,0.271679436129531,"2026-07-03"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","statewide",324779,104089,TRUE,0.518552747713374,0.730958602474607,160,"09 Jun",0.994,TRUE,65,228,"06 Mar","16 Aug",FALSE,0.422932802820754,0.0308993364668074,FALSE,334084,0.424946718555499,"2026-07-03"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","central_west",3970,725,TRUE,0.5188690763236,0.731615855318088,161,"10 Jun",0.991,TRUE,66,228,"07 Mar","16 Aug",FALSE,0.110694203363144,0.0315275791376321,FALSE,334084,0.424946718555499,"2026-07-03"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","new_england",3778,816,TRUE,0.518445164609106,0.7307351697197,161,"10 Jun",0.995,TRUE,66,228,"07 Mar","16 Aug",FALSE,0.0657656521525413,0.0327189930836962,FALSE,334084,0.424946718555499,"2026-07-03"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","south_west",1557,80,TRUE,0.519092817661803,0.732080995608974,162,"11 Jun",0.991,TRUE,65,228,"06 Mar","16 Aug",FALSE,0.00373383091340635,0.0396091005316487,FALSE,334084,0.424946718555499,"2026-07-03"
"Magpie-lark","Grallina cyanoleuca","u415a","Grallina cyanoleuca cyanoleuca",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","statewide",324806,123901,TRUE,0.183271127725991,0.202448096880832,100,"10 Apr",0,FALSE,NA,NA,NA,NA,FALSE,1.78004147825447,0.0254104505616569,FALSE,334104,0.312998305681644,"2026-07-03"
"Magpie-lark","Grallina cyanoleuca","u415a","Grallina cyanoleuca cyanoleuca",TRUE,FALSE,NA,"Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","central_west",3970,2135,TRUE,0.167488490866772,0.183308232438442,86,"27 Mar",0,FALSE,NA,NA,NA,NA,FALSE,2.17865283288069,0.0206745867609424,FALSE,334104,0.312998305681644,"2026-07-03"
