ebird_sci_name,avonet_species2,note
Spilopelia chinensis,Streptopelia chinensis,genus reshuffle
Zanda funerea,Calyptorhynchus funereus,genus reshuffle
Icthyophaga leucogaster,Haliaeetus leucogaster,genus reshuffle
Ardea coromanda,Bubulcus ibis,Eastern Cattle-Egret split from Cattle Egret
Trichoglossus concinnus,Glossopsitta concinna,genus reshuffle
Thinornis melanops,Elseyornis melanops,genus reshuffle
Anthus australis,Anthus novaeseelandiae,Australian Pipit split from Richard's/Australasian Pipit
Chalcites lucidus,Chrysococcyx lucidus,genus reshuffle
Tachyspiza fasciata,Accipiter fasciatus,genus reshuffle (Tachyspiza split from Accipiter)
Ardea plumifera,Ardea intermedia,Plumed Egret split from Intermediate Egret
Neosericornis citreogularis,Sericornis citreogularis,genus reshuffle
Butorides atricapilla,Butorides striata,Little Heron split from Striated Heron
Psitteuteles pusillus,Parvipsitta pusilla,genus reshuffle
Anarhynchus ruficapillus,Charadrius ruficapillus,genus reshuffle (Anarhynchus split from Charadrius)
Chalcites basalis,Chrysococcyx basalis,genus reshuffle
Tachyspiza novaehollandiae,Accipiter novaehollandiae,genus reshuffle
Tachyspiza cirrocephala,Accipiter cirrocephalus,genus reshuffle
Gelochelidon macrotarsa,Gelochelidon nilotica,Australian Tern split from Gull-billed Tern
Megaloprepia magnifica,Ptilinopus magnificus,genus reshuffle
Heteroscenes pallidus,Cacomantis pallidus,genus reshuffle
Anarhynchus bicinctus,Charadrius bicinctus,genus reshuffle
Eopsaltria capito,Tregellasia capito,genus reshuffle
Psephotellus varius,Psephotus varius,genus reshuffle
Emblema modestum,Aidemosyne modesta,genus reshuffle
Cacatua leadbeateri,Lophochroa leadbeateri,genus reshuffle
Tyto javanica,Tyto alba,Eastern Barn Owl split from Barn Owl
Anarhynchus leschenaultii,Charadrius leschenaultii,genus reshuffle
Chalcites osculans,Chrysococcyx osculans,genus reshuffle
Anarhynchus mongolus,Charadrius mongolus,genus reshuffle
Neopsephotus bourkii,Neophema bourkii,genus reshuffle
Botaurus dubius,Ixobrychus dubius,genus reshuffle (Black-backed Bittern)
Glareola isabella,Stiltia isabella,genus reshuffle
Botaurus flavicollis,Ixobrychus flavicollis,genus reshuffle
Gygis candida,Gygis alba,Blue-billed White-Tern split from White Tern
Chalcites minutillus,Chrysococcyx minutillus,genus reshuffle
Thalassarche carteri,Thalassarche chlororhynchos,Indian Yellow-nosed split from Yellow-nosed Albatross
Anarhynchus alexandrinus,Charadrius alexandrinus,genus reshuffle
Psitteuteles porphyrocephalus,Parvipsitta porphyrocephala,genus reshuffle
Anarhynchus veredus,Charadrius veredus,genus reshuffle
Diomedea antipodensis,Diomedea exulans,Antipodean split from Wandering Albatross
Eclectus polychloros,Eclectus roratus,Papuan Eclectus split from Eclectus Parrot
Thinornis dubius,Charadrius dubius,Little Ringed Plover genus reshuffle
