"common_name","scientific_name","botw_seasonal_codes","migratory_status"
"Australian Magpie","Gymnorhina tibicen","1","resident"
"Rainbow Lorikeet","Trichoglossus moluccanus","1","resident"
"Magpie-lark","Grallina cyanoleuca","1","resident"
"Noisy Miner","Manorina melanocephala","1","resident"
"Welcome Swallow","Hirundo neoxena","1;3","migrant"
"Australian Raven","Corvus coronoides","1","resident"
"Superb Fairywren","Malurus cyaneus","1","resident"
"Willie-wagtail","Rhipidura leucophrys","1","resident"
"Laughing Kookaburra","Dacelo novaeguineae","1","resident"
"Pied Currawong","Strepera graculina","1","resident"
"Sulphur-crested Cockatoo","Cacatua galerita","1","resident"
"Gray Fantail","Rhipidura albiscapa","1;3","migrant"
"Masked Lapwing","Vanellus miles","1;3","migrant"
"Pacific Black Duck","Anas superciliosa","1","resident"
"Galah","Eolophus roseicapilla","1","resident"
"Gray Butcherbird","Cracticus torquatus","1","resident"
"Crested Pigeon","Ocyphaps lophotes","1","resident"
"Australian Ibis","Threskiornis molucca",NA,"unknown"
"Red Wattlebird","Anthochaera carunculata","1","resident"
"Lewin's Honeyeater","Meliphaga lewinii","1","resident"
"Maned Duck","Chenonetta jubata","1","resident"
"Common Myna","Acridotheres tristis","1","resident"
"White-faced Heron","Egretta novaehollandiae","1;3","migrant"
"Eastern Yellow Robin","Eopsaltria australis","1","resident"
"Little Pied Cormorant","Microcarbo melanoleucos","1;3","migrant"
"Eastern Whipbird","Psophodes olivaceus","1","resident"
"Crimson Rosella","Platycercus elegans","1","resident"
"Silver Gull","Chroicocephalus novaehollandiae",NA,"unknown"
"Black-faced Cuckooshrike","Coracina novaehollandiae","1;2;3;4","migrant"
"Yellow-faced Honeyeater","Caligavis chrysops","1","resident"
"Brown Thornbill","Acanthiza pusilla","1","resident"
"Little Wattlebird","Anthochaera chrysoptera","1","resident"
"Silvereye","Zosterops lateralis","1","resident"
"Eastern Rosella","Platycercus eximius","1","resident"
"Eastern Spinebill","Acanthorhynchus tenuirostris","1","resident"
"Dusky Moorhen","Gallinula tenebrosa","1","resident"
"Gray Shrikethrush","Colluricincla harmonica","1","resident"
"White-browed Scrubwren","Sericornis frontalis","1","resident"
"Little Black Cormorant","Phalacrocorax sulcirostris","1;3","migrant"
"Red-browed Firetail","Neochmia temporalis","1","resident"
"Eurasian Coot","Fulica atra","1;2;3","migrant"
"Golden Whistler","Pachycephala pectoralis","1","resident"
"Australian Pelican","Pelecanus conspicillatus","1;3","migrant"
"Australasian Swamphen","Porphyrio melanotus",NA,"unknown"
"White-throated Treecreeper","Cormobates leucophaea","1","resident"
"Spotted Dove","Spilopelia chinensis","1","resident"
"Spotted Pardalote","Pardalotus punctatus","1","resident"
"European Starling","Sturnus vulgaris","1;2;3","migrant"
"Little Corella","Cacatua sanguinea","1","resident"
"Australian King-Parrot","Alisterus scapularis","1","resident"
"Satin Bowerbird","Ptilonorhynchus violaceus","1","resident"
"Gray Teal","Anas gracilis","1","resident"
"Rufous Whistler","Pachycephala rufiventris","1","resident"
"Noisy Friarbird","Philemon corniculatus","1","resident"
"Chestnut Teal","Anas castanea","1","resident"
"Yellow Thornbill","Acanthiza nana","1","resident"
"Black Swan","Cygnus atratus","1","resident"
"Great Cormorant","Phalacrocorax carbo","1;2;3;4","migrant"
"Rock Pigeon","Columba livia","1","resident"
"Australasian Grebe","Tachybaptus novaehollandiae","1;3","migrant"
"Pied Butcherbird","Cracticus nigrogularis","1","resident"
"Australasian Figbird","Sphecotheres vieilloti","1","resident"
"Great Egret","Ardea alba","1;2;3;4;5","migrant"
"White-plumed Honeyeater","Ptilotula penicillata","1","resident"
"New Holland Honeyeater","Phylidonyris novaehollandiae","1","resident"
"Olive-backed Oriole","Oriolus sagittatus","1","resident"
"Sacred Kingfisher","Todiramphus sanctus","1;2;3","migrant"
"Yellow-tailed Black-Cockatoo","Zanda funerea","1","resident"
"Red-rumped Parrot","Psephotus haematonotus","1","resident"
"Australasian Darter","Anhinga novaehollandiae","1","resident"
"Pacific Koel","Eudynamys orientalis","1;2","migrant"
"Great Crested Tern","Thalasseus bergii","1;4","migrant"
"Striated Pardalote","Pardalotus striatus","1;3","migrant"
"Torresian Crow","Corvus orru","1","resident"
"Brown Gerygone","Gerygone mouki","1","resident"
"Bar-shouldered Dove","Geopelia humeralis","1","resident"
"Pied Cormorant","Phalacrocorax varius","1","resident"
"Eurasian Blackbird","Turdus merula","1;2;3","migrant"
"House Sparrow","Passer domesticus","1;3","migrant"
"Striated Thornbill","Acanthiza lineata","1","resident"
"Hardhead","Aythya australis","1","resident"
"Royal Spoonbill","Platalea regia","1;3","migrant"
"Australian Reed Warbler","Acrocephalus australis","1","resident"
"Fan-tailed Cuckoo","Cacomantis flabelliformis","1","resident"
"Variegated Fairywren","Malurus lamberti","1","resident"
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa","1","resident"
"White-bellied Sea-Eagle","Icthyophaga leucogaster",NA,"unknown"
"Straw-necked Ibis","Threskiornis spinicollis","1;3;4","migrant"
"Red-whiskered Bulbul","Pycnonotus jocosus","1","resident"
"Scarlet Myzomela","Myzomela sanguinolenta","1","resident"
"Nankeen Kestrel","Falco cenchroides","1;3","migrant"
"Whistling Kite","Haliastur sphenurus","1;3","migrant"
"Blue-faced Honeyeater","Entomyzon cyanotis","1","resident"
"Mistletoebird","Dicaeum hirundinaceum","1","resident"
"Australian Brushturkey","Alectura lathami","1","resident"
"Dollarbird","Eurystomus orientalis","1;2","migrant"
"Eastern Cattle-Egret","Ardea coromanda",NA,"unknown"
"Pied Stilt","Himantopus leucocephalus",NA,"unknown"
"Bell Miner","Manorina melanophrys","1","resident"
"Brown Cuckoo-Dove","Macropygia phasianella","1","resident"
"Musk Lorikeet","Trichoglossus concinnus",NA,"unknown"
"Pied Oystercatcher","Haematopus longirostris","1;3","migrant"
"Wonga Pigeon","Leucosarcia melanoleuca","1","resident"
"Brown Honeyeater","Lichmera indistincta","1","resident"
"White-cheeked Honeyeater","Phylidonyris niger","1","resident"
"Little Raven","Corvus mellori","1","resident"
"Golden-headed Cisticola","Cisticola exilis","1","resident"
"White-winged Chough","Corcorax melanorhamphos","1","resident"
"Black-shouldered Kite","Elanus axillaris","1","resident"
"Tree Martin","Petrochelidon nigricans","1;2;3","migrant"
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus","1","resident"
"Channel-billed Cuckoo","Scythrops novaehollandiae","1;2;3","migrant"
"Black-fronted Dotterel","Thinornis melanops",NA,"unknown"
"Superb Lyrebird","Menura novaehollandiae","1","resident"
"Fairy Martin","Petrochelidon ariel","1;3","migrant"
"Peaceful Dove","Geopelia placida","1","resident"
"White-headed Pigeon","Columba leucomela","1","resident"
"Pacific Heron","Ardea pacifica","1;3","migrant"
"Little Egret","Egretta garzetta","1;2;3","migrant"
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis","1","resident"
"White-breasted Woodswallow","Artamus leucorynchus",NA,"unknown"
"White-eared Honeyeater","Nesoptilotis leucotis","1","resident"
"White-naped Honeyeater","Melithreptus lunatus","1","resident"
"White-throated Gerygone","Gerygone olivacea","1","resident"
"Australian Rufous Fantail","Rhipidura rufifrons","1;3","migrant"
"Weebill","Smicrornis brevirostris","1","resident"
"Common Bronzewing","Phaps chalcoptera","1","resident"
"Rainbow Bee-eater","Merops ornatus","1;2;3","migrant"
"Osprey","Pandion haliaetus","1;2;3;4","migrant"
"Black-faced Monarch","Monarcha melanopsis","1;2;3","migrant"
"Australian Pipit","Anthus australis",NA,"unknown"
"Wedge-tailed Eagle","Aquila audax","1","resident"
"Dusky Woodswallow","Artamus cyanopterus","1","resident"
"Sooty Oystercatcher","Haematopus fuliginosus","1","resident"
"Bar-tailed Godwit","Limosa lapponica","2;3;4","migrant"
"Jacky-winter","Microeca fascinans","1","resident"
"Shining Bronze-Cuckoo","Chalcites lucidus","1;2;3;4","migrant"
"Brown Goshawk","Tachyspiza fasciata",NA,"unknown"
"Swamp Harrier","Circus approximans","1;3","migrant"
"Green Catbird","Ailuroedus crassirostris","1","resident"
"Tawny Frogmouth","Podargus strigoides","1","resident"
"Caspian Tern","Hydroprogne caspia","1;2;3;4","migrant"
"Double-barred Finch","Stizoptera bichenovii",NA,"unknown"
"Striped Honeyeater","Plectorhyncha lanceolata","1","resident"
"Leaden Flycatcher","Myiagra rubecula","1;2","migrant"
"Little Grassbird","Poodytes gramineus","1","resident"
"Long-billed Corella","Cacatua tenuirostris","1","resident"
"Australasian Gannet","Morus serrator","2;3","migrant"
"Hoary-headed Grebe","Poliocephalus poliocephalus","1;3","migrant"
"Large-billed Scrubwren","Sericornis magnirostra","1","resident"
"Restless Flycatcher","Myiagra inquieta","1;3","migrant"
"Spangled Drongo","Dicrurus bracteatus","1","resident"
"Brown Treecreeper","Climacteris picumnus","1","resident"
"Far Eastern Curlew","Numenius madagascariensis","2;3;4","migrant"
"Apostlebird","Struthidea cinerea","1","resident"
"Topknot Pigeon","Lopholaimus antarcticus","1","resident"
"Plumed Egret","Ardea plumifera","1;3","migrant"
"Little Friarbird","Philemon citreogularis","1","resident"
"Australasian Shoveler","Spatula rhynchotis","1","resident"
"Tawny Grassbird","Cincloramphus timoriensis","1","resident"
"Buff-rumped Thornbill","Acanthiza reguloides","1","resident"
"Rufous Songlark","Cincloramphus mathewsi","1;3","migrant"
"Brown Quail","Synoicus ypsilophorus","1","resident"
"Brown-headed Honeyeater","Melithreptus brevirostris","1","resident"
"Pink-eared Duck","Malacorhynchus membranaceus","1;5","resident"
"Yellow-throated Scrubwren","Neosericornis citreogularis","1","resident"
"Azure Kingfisher","Ceyx azureus","1","resident"
"Little Heron","Butorides atricapilla",NA,"unknown"
"Yellow-throated Miner","Manorina flavigula","1","resident"
"European Goldfinch","Carduelis carduelis","1;2;3","migrant"
"Black Kite","Milvus migrans","1;2;3;4","migrant"
"Rose Robin","Petroica rosea","2;3","migrant"
"Eastern Shrike-tit","Falcunculus frontatus","1","resident"
"Sahul Cicadabird","Edolisoma tenuirostre","1;2","migrant"
"Buff-banded Rail","Gallirallus philippensis",NA,"unknown"
"Yellow-billed Spoonbill","Platalea flavipes","1;3","migrant"
"Mallard","Anas platyrhynchos","1;2;3;4;5","migrant"
"Singing Honeyeater","Gavicalis virescens","1","resident"
"Little Lorikeet","Psitteuteles pusillus",NA,"unknown"
"Brown Falcon","Falco berigora","1","resident"
"Zebra Finch","Taeniopygia guttata","1","resident"
"Red-capped Plover","Anarhynchus ruficapillus",NA,"unknown"
"Australian Ringneck","Barnardius zonarius","1","resident"
"White-winged Triller","Lalage tricolor","1;2","migrant"
"Latham's Snipe","Gallinago hardwickii","2;3;4","migrant"
"Red-necked Stint","Calidris ruficollis","2;3;4","migrant"
"White-throated Needletail","Hirundapus caudacutus","1;2;3;4","migrant"
"Sharp-tailed Sandpiper","Calidris acuminata","2;3;4","migrant"
"Brahminy Kite","Haliastur indus","1","resident"
"Varied Sittella","Daphoenositta chrysoptera","1","resident"
"Little Tern","Sternula albifrons","1;2;3;4","migrant"
"Australian Hobby","Falco longipennis","1;3","migrant"
"Fuscous Honeyeater","Ptilotula fusca","1","resident"
"Red-capped Robin","Petroica goodenovii","1","resident"
"Musk Duck","Biziura lobata","1;5","resident"
"Gray-crowned Babbler","Pomatostomus temporalis","1","resident"
"Pacific Golden-Plover","Pluvialis fulva","2;3;4","migrant"
"Pheasant Coucal","Centropus phasianinus","1","resident"
"Sahul Brush Cuckoo","Cacomantis variolosus","1;3","migrant"
"Horsfield's Bronze-Cuckoo","Chalcites basalis","1;3","migrant"
"Yellow-tufted Honeyeater","Lichenostomus melanops","1","resident"
"Nankeen Night Heron","Nycticorax caledonicus","1","resident"
"Australian Owlet-nightjar","Aegotheles cristatus","1","resident"
"Red-backed Fairywren","Malurus melanocephalus","1","resident"
"Gray Goshawk","Tachyspiza novaehollandiae","1","resident"
"Peregrine Falcon","Falco peregrinus","1;2;3;4","migrant"
"Speckled Warbler","Pyrrholaemus sagittatus","1","resident"
"Purple-backed Fairywren","Malurus assimilis","1","resident"
"Varied Triller","Lalage leucomela","1","resident"
"Australian Logrunner","Orthonyx temminckii","1","resident"
"Gang-gang Cockatoo","Callocephalon fimbriatum","1","resident"
"Red-kneed Dotterel","Erythrogonys cinctus","1","resident"
"Great Crested Grebe","Podiceps cristatus","1;2;3;4","migrant"
"Regent Bowerbird","Sericulus chrysocephalus","1","resident"
"Eurasian Whimbrel","Numenius phaeopus","2;3;4;5","migrant"
"Western Gerygone","Gerygone fusca","1;3","migrant"
"Cockatiel","Nymphicus hollandicus","1","resident"
"Collared Sparrowhawk","Tachyspiza cirrocephala",NA,"unknown"
"Ruddy Turnstone","Arenaria interpres","2;3;4","migrant"
"Bassian Thrush","Zoothera lunulata","1","resident"
"Scarlet Robin","Petroica boodang","1;2;3","migrant"
"Australian Boobook","Ninox boobook","1","resident"
"Emu","Dromaius novaehollandiae","1;3","migrant"
"White-bellied Cuckooshrike","Coracina papuensis","1","resident"
"Forest Raven","Corvus tasmanicus","1","resident"
"White-browed Woodswallow","Artamus superciliosus","1","resident"
"Australian Shelduck","Tadorna tadornoides","1","resident"
"White-winged Fairywren","Malurus leucopterus","1","resident"
"Chestnut-rumped Thornbill","Acanthiza uropygialis","1","resident"
"Common Tern","Sterna hirundo","1;2;3;4","migrant"
"White-browed Babbler","Pomatostomus superciliosus","1","resident"
"Magpie Goose","Anseranas semipalmata","1;3","migrant"
"Southern Emuwren","Stipiturus malachurus","1","resident"
"Red-necked Avocet","Recurvirostra novaehollandiae","1;5","resident"
"Diamond Firetail","Stagonopleura guttata","1","resident"
"Greater Bluebonnet","Northiella haematogaster","1","resident"
"Noisy Pitta","Pitta versicolor","1;2;3","migrant"
"Powerful Owl","Ninox strenua","1","resident"
"Australian Tern","Gelochelidon macrotarsa","1;3","migrant"
"Superb Parrot","Polytelis swainsonii","1;3","migrant"
"Australian Spectacled Monarch","Symposiachrus trivirgatus","1;2;3","migrant"
"Wompoo Fruit-Dove","Megaloprepia magnifica","1","resident"
"Pacific Emerald Dove","Chalcophaps longirostris","1","resident"
"Inland Thornbill","Acanthiza apicalis","1","resident"
"Blue-billed Duck","Oxyura australis","1;3","migrant"
"Glossy Black-Cockatoo","Calyptorhynchus lathami","1","resident"
"Mangrove Gerygone","Gerygone levigaster","1","resident"
"Gray-tailed Tattler","Tringa brevipes","2;3;4","migrant"
"Southern Whiteface","Aphelocephala leucopsis","1","resident"
