WLAB_ScientificName,WLAB_CommonName,WLAB_Taxon_ID
Lathamus discolor,Swift Parrot,u309
Cacatua leadbeateri leadbeateri,Eastern Major Mitchell's Cockatoo,u270a
Ardenna grisea,Sooty Shearwater,u70
Botaurus poiciloptilus,Australasian Bittern,u197
Pezoporus occidentalis,Night Parrot,u312
Sternula albifrons placens,Tasman Little Tern,u117a
Cyclopsitta coxeni,Coxen's Fig-Parrot,u8028
Thalassarche cauta,Shy Albatross,u91
Rostratula australis,Australian Painted-Snipe,u170
Falco hypoleucos,Grey Falcon,u236
Hirundapus caudacutus caudacutus,Eastern White-throated Needletail,u334
Numenius madagascariensis,Far Eastern Curlew,u149
Arenaria interpres interpres,Palaearctic Ruddy Turnstone,u129
Sula leucogaster plotus,Indo-Pacific Brown Booby,u102
Sula sula rubripes,Indo-Pacific Red-footed Booby,u103
Morus serrator,Australasian Gannet,u104
Anthochaera phrygia,Regent Honeyeater,u603
Sternula nereis nereis,Australian Fairy Tern,u118b
Limosa limosa melanuroides,Eastern Black-tailed Godwit,u152
Limosa lapponica baueri,Alaskan Bar-tailed Godwit,u153a
Limosa lapponica menzbieri,Yakutian Bar-tailed Godwit,u153b
Limosa lapponica anadyrensis,Anadyr Bar-tailed Godwit,u153c
Phaethon rubricauda roseotinctus,Pacific Red-tailed Tropicbird,u107a
Pedionomus torquatus,Plains-wanderer,u20
Pelecanus conspicillatus,Australian Pelican,u106
Calyptorhynchus lathami lathami,South-eastern Glossy Black-Cockatoo,u265c
Calidris ferruginea,Curlew Sandpiper,u161
Polytelis anthopeplus monarchoides,Eastern Regent Parrot,u278b
Dasyornis brachypterus monoides,Northern Eastern Bristlebird,u519b
Charadrius mongolus mongolus,Mongolian Lesser Sand Plover,u139a
Charadrius mongolus stegmanni,Kamchatkan Lesser Sand Plover,u139b
Thalasseus bergii cristatus,Australasian Crested Tern,u115
Catharacta antarctica lonnbergi,Subantarctic Brown Skua,u127
Ephippiorhynchus asiaticus australis,Torresian Black-necked Stork,u183
Stercorarius pomarinus,Pomarine Jaeger,u945
Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,u96
Aquila audax audax,Mainland Wedge-tailed Eagle,u224a
Amytornis striatus striatus,Mukarrthippi Grasswren,u513e
Leipoa ocellata,Malleefowl,u7
Ardenna tenuirostris,Short-tailed Shearwater,u71
Hydroprogne caspia,Caspian Tern,u112
Anous stolidus pileatus,Indo-Pacific Brown Noddy,u122
Platalea flavipes,Yellow-billed Spoonbill,u182
Cygnus atratus,Black Swan,u203
Falco peregrinus macropus,Australian Peregrine Falcon,u237a
Phalacrocorax varius hypoleucos,Australian Great Pied Cormorant,u99
Calidris acuminata,Sharp-tailed Sandpiper,u163
Calidris canutus piersmai,New Siberian Islands Red Knot,u164a
Calidris canutus rogersi,North-eastern Siberian Red Knot,u164b
Callocephalon fimbriatum,Gang-gang Cockatoo,u268
Onychoprion anaethetus anaethetus,Indo-Pacific Bridled Tern,u121a
Stercorarius parasiticus,Arctic Jaeger,u128
Threskiornis spinicollis,Straw-necked Ibis,u180
Platalea regia,Royal Spoonbill,u181
Haliaeetus leucogaster,White-bellied Sea-Eagle,u226
Pandion haliaetus cristatus,Eastern Osprey,u241a
Trichoglossus moluccanus moluccanus,Eastern Rainbow Lorikeet,u254a
Phalacrocorax fuscescens,Black-faced Cormorant,u98
