"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Australian Magpie","Gymnorhina tibicen","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Rainbow Lorikeet","Trichoglossus moluccanus","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Magpie-lark","Grallina cyanoleuca","Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Noisy Miner","Manorina melanocephala","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","1"
"Welcome Swallow","Hirundo neoxena","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","1;3"
"Australian Raven","Corvus coronoides","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","1"
"Superb Fairywren","Malurus cyaneus","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Willie-wagtail","Rhipidura leucophrys","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"Laughing Kookaburra","Dacelo novaeguineae","Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","1"
"Pied Currawong","Strepera graculina","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","1"
"Sulphur-crested Cockatoo","Cacatua galerita","Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Gray Fantail","Rhipidura albiscapa","Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"1;3"
"Masked Lapwing","Vanellus miles","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","1;3"
"Pacific Black Duck","Anas superciliosa","Partial migrant","local dispersal;nomadic","Herbivore aquatic","Herbivore","Aquatic","around-water",3,"LC","not listed","not listed","1"
"Galah","Eolophus roseicapilla","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Gray Butcherbird","Cracticus torquatus","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",2,"LC","not listed","not listed","1"
"Crested Pigeon","Ocyphaps lophotes","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Australian Ibis","Threskiornis molucca","Sedentary",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",4,"LC",NA,NA,NA
"Red Wattlebird","Anthochaera carunculata","Partial migrant","local dispersal;partial migrant;nomadic","Nectarivore","Herbivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Lewin's Honeyeater","Meliphaga lewinii","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","mid-high",5,"LC","not listed","not listed","1"
"Maned Duck","Chenonetta jubata","Sedentary","local dispersal;nomadic","Herbivore terrestrial","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Common Myna","Acridotheres tristis","Partial migrant","local dispersal","Omnivore","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"White-faced Heron","Egretta novaehollandiae","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","1;3"
"Eastern Yellow Robin","Eopsaltria australis","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Little Pied Cormorant","Microcarbo melanoleucos","Sedentary","total migrant","Aquatic predator","Carnivore","Aquatic","below-water",4,"LC","not listed","not listed","1;3"
"Eastern Whipbird","Psophodes olivaceus","Sedentary","local dispersal","Invertivore","Carnivore","Generalist","ground",2,"LC","not listed","not listed","1"
"Crimson Rosella","Platycercus elegans","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","mid-high",4,"LC","not listed","not listed","1"
"Silver Gull","Chroicocephalus novaehollandiae","Sedentary","local dispersal;partial migrant","Omnivore","Carnivore","Generalist","around-water",4,"LC","not listed","not listed",NA
"Black-faced Cuckooshrike","Coracina novaehollandiae","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",6,"LC","not listed","not listed","1;2;3;4"
"Yellow-faced Honeyeater","Caligavis chrysops","Migratory","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","canopy",6,"LC","not listed","not listed","1"
"Brown Thornbill","Acanthiza pusilla","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",5,"LC","EN","not listed","1"
"Little Wattlebird","Anthochaera chrysoptera","Sedentary","local dispersal;partial migrant","Nectarivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Silvereye","Zosterops lateralis","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Insessorial","understory",3,"LC","not listed","VU","1"
"Eastern Rosella","Platycercus eximius","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","ground",5,"LC","not listed","not listed","1"
"Eastern Spinebill","Acanthorhynchus tenuirostris","Sedentary","local dispersal;partial migrant","Nectarivore","Omnivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Dusky Moorhen","Gallinula tenebrosa","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Gray Shrikethrush","Colluricincla harmonica","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","mid-high",4,"LC","not listed","not listed","1"
"White-browed Scrubwren","Sericornis frontalis","Sedentary","local dispersal","Invertivore","Omnivore","Insessorial","ground",2,"LC","not listed","not listed","1"
"Little Black Cormorant","Phalacrocorax sulcirostris","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Red-browed Firetail","Neochmia temporalis","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Eurasian Coot","Fulica atra","Sedentary","nomadic;irruptive","Herbivore aquatic","Herbivore","Generalist","below-water",3,"LC","not listed","not listed","1;2;3"
"Golden Whistler","Pachycephala pectoralis","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",3,"LC","VU","VU","1"
"Australian Pelican","Pelecanus conspicillatus","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Australasian Swamphen","Porphyrio melanotus","Sedentary",NA,"Herbivore aquatic","Herbivore","Terrestrial",NA,2,NA,NA,NA,NA
"White-throated Treecreeper","Cormobates leucophaea","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",7,"LC","not listed","not listed","1"
"Spotted Dove","Spilopelia chinensis","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Spotted Pardalote","Pardalotus punctatus","Sedentary","local dispersal;partial migrant","Invertivore","Omnivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"European Starling","Sturnus vulgaris","Partial migrant","local dispersal;nomadic","Omnivore","Omnivore","Insessorial","ground",6,"LC","not listed","not listed","1;2;3"
"Little Corella","Cacatua sanguinea","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Australian King-Parrot","Alisterus scapularis","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Satin Bowerbird","Ptilonorhynchus violaceus","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Gray Teal","Anas gracilis","Sedentary","nomadic","Aquatic predator","Omnivore","Aquatic","around-water",3,"LC","not listed","not listed","1"
"Rufous Whistler","Pachycephala rufiventris","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","understory",2,"LC","not listed","not listed","1"
"Noisy Friarbird","Philemon corniculatus","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Insessorial","canopy",5,"LC","not listed","not listed","1"
"Chestnut Teal","Anas castanea","Partial migrant","total migrant","Aquatic predator","Omnivore","Aquatic","around-water",4,"LC","not listed","not listed","1"
"Yellow Thornbill","Acanthiza nana","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Black Swan","Cygnus atratus","Partial migrant","local dispersal;nomadic","Herbivore aquatic","Herbivore","Aquatic","around-water",4,"LC","not listed","not listed","1"
"Great Cormorant","Phalacrocorax carbo","Partial migrant","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",4,"LC","not listed","not listed","1;2;3;4"
"Rock Pigeon","Columba livia","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Australasian Grebe","Tachybaptus novaehollandiae","Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Pied Butcherbird","Cracticus nigrogularis","Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Australasian Figbird","Sphecotheres vieilloti","Sedentary","local dispersal","Frugivore","Herbivore","Insessorial","canopy",2,"LC","not listed","not listed","1"
"Great Egret","Ardea alba","Partial migrant","local dispersal;partial migrant;irruptive","Aquatic predator","Carnivore","Terrestrial","around-water",4,"LC","not listed","not listed","1;2;3;4;5"
"White-plumed Honeyeater","Ptilotula penicillata","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"New Holland Honeyeater","Phylidonyris novaehollandiae","Partial migrant","local dispersal","Nectarivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Olive-backed Oriole","Oriolus sagittatus","Partial migrant","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Sacred Kingfisher","Todiramphus sanctus","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",7,"LC","not listed","not listed","1;2;3"
"Yellow-tailed Black-Cockatoo","Zanda funerea","Sedentary","local dispersal;partial migrant;nomadic","Granivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Red-rumped Parrot","Psephotus haematonotus","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"Australasian Darter","Anhinga novaehollandiae","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
"Pacific Koel","Eudynamys orientalis","Sedentary","total migrant","Frugivore","Herbivore","Insessorial","canopy",4,"LC","not listed","not listed","1;2"
"Great Crested Tern","Thalasseus bergii","Migratory","local dispersal;partial migrant","Aquatic predator","Carnivore","Aerial","pelagic",4,"LC","not listed","not listed","1;4"
"Striated Pardalote","Pardalotus striatus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",3,"LC","not listed","not listed","1;3"
"Torresian Crow","Corvus orru","Sedentary","local dispersal;nomadic","Omnivore","Omnivore","Generalist","ground",6,"LC","not listed","not listed","1"
"Brown Gerygone","Gerygone mouki","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",1,"LC","not listed","not listed","1"
"Bar-shouldered Dove","Geopelia humeralis","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Pied Cormorant","Phalacrocorax varius","Sedentary","local dispersal","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
"Eurasian Blackbird","Turdus merula","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",6,"LC","not listed","not listed","1;2;3"
"House Sparrow","Passer domesticus","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1;3"
"Striated Thornbill","Acanthiza lineata","Sedentary","local dispersal","Invertivore","Omnivore","Insessorial","mid-high",2,"LC","not listed","not listed","1"
"Hardhead","Aythya australis","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
