"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",1,1,TRUE,"binomial",FALSE,NA
"Magpie-lark","Grallina cyanoleuca","u415a","Grallina cyanoleuca cyanoleuca",1,1,TRUE,"binomial",FALSE,NA
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",1,1,TRUE,"binomial",FALSE,NA
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",1,1,TRUE,"binomial",FALSE,NA
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",1,1,TRUE,"binomial",FALSE,NA
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",1,1,TRUE,"binomial",FALSE,NA
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",1,1,TRUE,"binomial",FALSE,NA
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",1,1,TRUE,"binomial",FALSE,NA
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",1,1,TRUE,"binomial",FALSE,NA
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",2,1,TRUE,"binomial",FALSE,NA
"Masked Lapwing","Vanellus miles","u133b","Vanellus miles novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Pacific Black Duck","Anas superciliosa","u208","Anas superciliosa",1,1,TRUE,"binomial",FALSE,NA
"Galah","Eolophus roseicapilla","u273a","Eolophus roseicapilla albiceps",1,1,TRUE,"binomial",FALSE,NA
"Gray Butcherbird","Cracticus torquatus","u702b;u702c","Cracticus torquatus torquatus;Cracticus torquatus leucopterus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Crested Pigeon","Ocyphaps lophotes","u43a","Ocyphaps lophotes lophotes",1,1,TRUE,"binomial",FALSE,NA
"Australian Ibis","Threskiornis molucca",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red Wattlebird","Anthochaera carunculata","u638a;u638c","Anthochaera carunculata carunculata;Anthochaera carunculata woodwardi",2,1,TRUE,"binomial",FALSE,NA
"Lewin's Honeyeater","Meliphaga lewinii","u605b","Meliphaga lewinii lewinii",1,1,TRUE,"binomial",FALSE,NA
"Maned Duck","Chenonetta jubata","u202","Chenonetta jubata",1,1,TRUE,"binomial",FALSE,NA
"Common Myna","Acridotheres tristis",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-faced Heron","Egretta novaehollandiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Eastern Yellow Robin","Eopsaltria australis","u392a;u392b","Eopsaltria australis australis;Eopsaltria australis chrysorrhos",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Pied Cormorant","Microcarbo melanoleucos","u100","Microcarbo melanoleucos melanoleucos",1,1,TRUE,"binomial",FALSE,NA
"Eastern Whipbird","Psophodes olivaceus","u421b","Psophodes olivaceus olivaceus",1,1,TRUE,"binomial",FALSE,NA
"Crimson Rosella","Platycercus elegans","u282a;u282c","Platycercus elegans elegans;Platycercus elegans flaveolus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
